Institution,BuildingId,Average Number of Residents
1,-913305970,8
1,-913303842,5
1,-913288370,13
1,-426688450,199
1,-426685378,206
1,-426684866,199
1,-426684610,145
1,-409973026,18
1,-409898690,59
1,-409895874,191
1,-409895362,141
1,-409895106,188
1,-124760354,30
1,-124673986,167
1,-124670914,207
1,-124670402,204
1,-124670146,143
1,-107983138,19
1,-107917250,187
1,-107914178,193
1,-107913666,32
1,-107913410,137
1,-91127746,186
1,-91127490,143
1,-91124674,188
1,-91124162,203
1,-74338242,167
1,-74335170,194
1,-74334658,194
1,-74334402,137
2,-426676978,230
2,-426676962,225
2,-426676946,227
2,-426676738,231
2,-409899746,44
2,-409899730,130
2,-107909874,236
2,-107909858,224
2,-107909842,214
2,-107909634,229
3,-913303842,4
3,-913288370,12
3,-913087122,1
3,-829330130,53
3,-426676978,137
3,-426676962,138
3,-426676946,141
3,-426676754,11
3,-426676738,139
3,-409899762,136
3,-409899746,144
3,-409899730,143
3,-409899538,12
3,-409899522,141
3,-208662898,8
3,-208660770,1
3,-208573154,47
3,-208573138,49
3,-124687090,161
3,-124687074,159
3,-124687058,159
3,-124686866,55
3,-124686850,151
3,-107909874,140
3,-107909858,133
3,-107909842,101
3,-107909650,142
3,-107909634,139
4,-968594130,38
4,-967480018,37
4,-967414482,36
4,-967348946,36
4,-967283410,60
4,-967152338,40
4,-965907154,37
4,-965317330,41
4,-965055186,49
4,-964989650,32
4,-964924114,38
4,-964858578,38
4,-960991954,36
4,-960926418,37
4,-913303842,1
4,-913288370,5
4,-426676946,684
4,-208662898,9
4,-208575826,14
4,-208575810,13
4,-208575794,15
4,-208575218,20
4,-208575202,11
4,-208575186,13
4,-208575170,17
4,-208575010,19
4,-208574994,21
4,-208574978,16
4,-107983138,16
4,-107909874,77
4,-107909858,156
4,-107909842,160
4,-107909650,127
4,-107909634,74
5,-913305970,4
5,-426764578,2
5,-426749106,6
5,-426676978,96
5,-426676962,93
5,-426676946,91
5,-426676802,75
5,-426676786,50
5,-426676770,91
5,-426676754,94
5,-426676738,94
5,-409987362,2
5,-409899762,94
5,-409899746,85
5,-409899730,91
5,-409899586,17
5,-409899570,45
5,-409899554,74
5,-409899538,92
5,-409899522,89
5,-124774690,2
5,-124687074,559
5,-124687058,547
5,-107909874,165
5,-107909858,144
5,-107909842,46
5,-107909650,161
5,-107909634,167
6,-913305970,5
6,-913303842,2
6,-913289506,22
6,-913288370,16
6,-426656322,78
6,-426656306,178
6,-426656290,133
6,-426656274,57
6,-409879282,92
6,-409879266,138
6,-409879250,91
6,-409879042,82
6,-124666866,167
6,-124666658,133
6,-124666642,166
6,-124666626,179
6,-107889634,156
6,-107889618,170
6,-107889602,183
6,-107889234,163
7,-913303842,3
7,-913288370,10
7,-829330130,49
7,-426676978,172
7,-426676962,174
7,-426676946,176
7,-426676754,160
7,-426676738,22
7,-409899762,162
7,-409899746,184
7,-409899730,165
7,-409899538,11
7,-409899522,170
7,-208662898,5
7,-208660770,1
7,-208573154,42
7,-208573138,41
7,-124687090,169
7,-124687074,165
7,-124687058,164
7,-124686866,31
7,-124686850,119
7,-107909874,152
7,-107909858,156
7,-107909842,150
7,-107909650,142
7,-107909634,148
8,-913303842,1
8,-426681074,30
8,-426681058,46
8,-426681042,19
8,-426680898,49
8,-426680882,46
8,-426680866,51
8,-426680850,28
8,-426680834,45
8,-409903842,6
8,-409903826,22
8,-409903618,161
8,-124691186,58
8,-124691170,57
8,-124691154,57
8,-124690994,50
8,-124690978,58
8,-124690962,59
8,-124690946,58
8,-107913970,87
8,-107913954,88
8,-107913938,93
8,-107913762,90
8,-107913746,93
8,-107913730,93
8,-74359538,138
8,-74359522,152
8,-74359506,230
8,-74359314,147
8,-74359298,150
9,-124776818,4
9,-124774690,1
9,-124715426,70
9,-107992338,34
9,1653278766,142
9,1653278830,45
9,1653279790,142
9,1653279854,175
9,1653286446,143
9,1653289518,132
9,1653291054,59
9,1653291566,91
9,1653292846,136
9,1667958830,97
9,1667966766,114
9,1667969582,87
9,1667970350,90
9,1667971118,40
9,1669007406,97
9,1669015086,98
9,1669015342,102
9,1669017902,102
9,1669018158,84
9,1669018670,100
9,1669019694,103
9,1669021486,100
9,1798015102,175
9,1798015374,182
9,1798015390,187
10,-966365906,19
10,-966169298,20
10,-913303842,1
10,-913288370,10
10,-913248594,28
10,-409988770,190
10,-409963170,77
10,-409952930,154
10,-409946786,202
10,-409941154,39
10,-409930146,7
10,-409873058,96
10,-409781410,50
10,-409780642,20
10,-409770658,6
10,-409764514,158
11,-913283202,18
11,-426676978,176
11,-426676738,158
11,-409899746,240
11,-409899730,207
11,-208662898,5
11,-208572914,26
11,-208572898,26
11,-208572882,25
11,-208572866,31
11,-208572674,26
11,-124686914,280
