Institution,BuildingId,FloorNumber,Average Number of Residents,Previously infected (%),Vaccine coverage (%),Population immunity (%)
1,-913305970,1,8,81,88,100
1,-913303842,1,5,91,96,100
1,-913288370,1,13,70,78,91
1,-426688450,1,103,77,83,95
1,-426688450,2,96,81,79,94
1,-426685378,1,108,73,87,91
1,-426685378,2,99,65,94,96
1,-426684866,1,103,76,87,94
1,-426684866,2,97,79,89,96
1,-426684610,1,145,61,79,90
1,-409973026,1,18,62,96,96
1,-409898690,1,36,50,71,82
1,-409898690,2,40,57,70,85
1,-409895874,1,102,55,82,87
1,-409895874,2,89,66,75,89
1,-409895362,1,141,56,78,87
1,-409895106,1,97,62,79,88
1,-409895106,2,91,69,84,90
1,-124760354,1,30,70,80,90
1,-124673986,1,90,49,79,88
1,-124673986,2,87,41,95,96
1,-124670914,1,111,43,86,89
1,-124670914,2,96,50,86,91
1,-124670402,1,106,70,85,94
1,-124670402,2,97,71,92,96
1,-124670146,1,143,69,87,94
1,-107983138,1,19,92,62,98
1,-107917250,1,97,57,82,87
1,-107917250,2,91,65,84,87
1,-107914178,1,105,53,83,89
1,-107914178,2,90,58,85,91
1,-107913666,1,22,97,76,100
1,-107913666,2,47,100,87,100
1,-107913410,1,137,51,79,84
1,-91127746,1,99,77,81,95
1,-91127746,2,87,79,84,95
1,-91127490,1,143,59,79,87
1,-91124674,1,99,87,93,98
1,-91124674,2,89,88,91,97
1,-91124162,1,107,60,79,89
1,-91124162,2,95,69,93,95
1,-74338242,1,91,69,78,92
1,-74338242,2,76,71,77,90
1,-74335170,1,106,78,92,96
1,-74335170,2,88,79,93,98
1,-74334658,1,102,68,80,92
1,-74334658,2,92,81,83,97
1,-74334402,1,137,53,79,90
2,-426676978,1,114,54,78,88
2,-426676978,2,116,50,77,89
2,-426676962,1,112,52,69,84
2,-426676962,2,114,60,67,83
2,-426676946,1,110,52,76,84
2,-426676946,2,118,58,78,88
2,-426676738,1,114,55,79,89
2,-426676738,2,117,55,73,85
2,-409899746,1,26,59,74,87
2,-409899746,2,27,51,64,81
2,-409899730,1,60,41,70,80
2,-409899730,2,70,40,65,77
2,-107909874,1,118,43,81,87
2,-107909874,2,118,42,77,85
2,-107909858,1,109,55,80,90
2,-107909858,2,115,56,78,89
2,-107909842,1,109,40,77,87
2,-107909842,2,105,41,72,85
2,-107909634,1,112,47,80,89
2,-107909634,2,117,44,78,89
3,-913303842,1,4,45,98,99
3,-913288370,1,12,37,90,91
3,-913087122,1,1,0,100,100
3,-829330130,1,53,35,80,85
3,-426676978,1,73,31,81,83
3,-426676978,2,65,31,80,84
3,-426676962,1,67,18,82,88
3,-426676962,2,71,18,85,87
3,-426676946,1,68,30,78,83
3,-426676946,2,73,23,79,85
3,-426676754,1,9,27,74,83
3,-426676754,2,10,33,68,79
3,-426676738,1,69,21,88,91
3,-426676738,2,70,13,87,88
3,-409899762,1,67,24,88,92
3,-409899762,2,69,19,86,90
