x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.6052674555414619,0.43220808478039974,0.8476211011271884,inf
"time_since_inf_cut.roommate[90,182)",0.6076884990430781,0.4678135892660362,0.7893856021767337,inf
"time_since_inf_cut.roommate[182,365)",0.7343400884725945,0.6074398950523058,0.8877509856205663,inf
"time_since_inf_cut.roommate[365,Inf)",0.8677089378352904,0.7922283282449993,0.9503810630795886,inf
has.vacc.roommate.binary,0.7606630640212833,0.677564541814014,0.8539530351118493,inf
age,0.9950238782342377,0.9894681957384999,1.0006107548685301,inf
age.roommate,1.0041373868281473,0.9988222625075956,1.0094807950062015,inf
risk,1.0780148111756458,1.0420264430275854,1.1152461061713177,inf
risk.roommate,1.0863810732426105,1.0517555651187052,1.1221465095519239,inf
"time_since_vacc_cut.roommate[0,90)",0.7009588701422965,0.6165560704051073,0.7969159030553838,vacc
"time_since_vacc_cut.roommate[90,182)",0.8577861282930358,0.7366672873762984,0.9988186722836012,vacc
"time_since_vacc_cut.roommate[182,365)",0.8160596818567578,0.7132739837177944,0.9336572194614574,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.8176028870667107,0.6662018397770015,1.0034113402682583,vacc
has.prior.inf.roommate,0.8197807616238558,0.7521060352962524,0.8935448800964273,vacc
age,0.9948177523310684,0.9892683761028203,1.0003982582075157,vacc
age.roommate,1.0056150638277241,1.0001970723620035,1.011062404141121,vacc
risk,1.0778801944874203,1.0419340954268026,1.1150664123265162,vacc
risk.roommate,1.085561203273223,1.0508945136433878,1.1213714704498898,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6325878225483056,0.5392763251714715,0.7420450973981975,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.7390334952000989,0.6185930232182142,0.8829238069744734,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7557872948025487,0.6408684279982876,0.8913131151882566,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.8114066286244357,0.6652554023826455,0.9896660960852771,infvacc
age,0.9946507692277383,0.9891071440538988,1.0002254646251152,infvacc
age.roommate,1.0060897773256203,1.0006874975294298,1.0115212216982332,infvacc
risk,1.079655167155831,1.043683904643192,1.1168662032445467,infvacc
risk.roommate,1.0867851026908708,1.0520946912625324,1.1226193509383298,infvacc
