x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.6327820653525632,0.4535811733096122,0.8827816624534712,inf
"time_since_inf_cut.roommate[90,182)",0.5887930680806499,0.4574503490561516,0.757846786509437,inf
"time_since_inf_cut.roommate[182,365)",0.7167551718786057,0.5964817411113912,0.8612803058439146,inf
"time_since_inf_cut.roommate[365,Inf)",0.8840814750296236,0.8085004493733221,0.9667280396645199,inf
has.vacc.roommate.binary,0.7731297752262443,0.6890484097979154,0.8674711977300485,inf
age,0.9965864599713692,0.9910102424663911,1.0021940537430398,inf
age.roommate,1.0059786212756343,1.000576507304387,1.0114099012678155,inf
risk,1.071480450836379,1.035835495749517,1.1083520126849888,inf
risk.roommate,1.087394430470164,1.052515838415941,1.1234288399850685,inf
"time_since_vacc_cut.roommate[0,90)",0.7073118114726075,0.6225458877604156,0.8036194736558859,vacc
"time_since_vacc_cut.roommate[90,182)",0.8696664626995171,0.7483167352321747,1.0106946974928106,vacc
"time_since_vacc_cut.roommate[182,365)",0.8377593030271764,0.732767867981437,0.9577939760676841,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.8489419377142278,0.6941037083012422,1.0383209381979004,vacc
has.prior.inf.roommate,0.828545909130078,0.7615034219744609,0.9014907927218885,vacc
age,0.9963524650542949,0.9907859470538156,1.001950257340347,vacc
age.roommate,1.0076382730219302,1.0021433778130542,1.0131632975257008,vacc
risk,1.0713156386177674,1.0357375106974192,1.1081158939335638,vacc
risk.roommate,1.0871951665699862,1.0522450645469492,1.123306128997673,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6270117990707779,0.534704311318135,0.7352545843604827,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.7342468446052676,0.6153829336777332,0.8760698409213931,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7562616000318612,0.6417365879787624,0.8912248707590881,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.7965437441289259,0.6543743672381048,0.9696008402481653,infvacc
age,0.9962994238044498,0.9907364139345068,1.0018936701146588,infvacc
age.roommate,1.00794447048134,1.0024613269908451,1.0134576050166044,infvacc
risk,1.07299826876223,1.037382172511398,1.1098371605707273,infvacc
risk.roommate,1.0877095720504346,1.0527857368110787,1.1237919281788746,infvacc
