x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.609632295058283,0.43596382180307247,0.8524825148126779,inf
"time_since_inf_cut.roommate[90,182)",0.5923869149990486,0.456168351637456,0.7692823401764372,inf
"time_since_inf_cut.roommate[182,365)",0.7287304906820093,0.6032241555965997,0.880349573409284,inf
"time_since_inf_cut.roommate[365,Inf)",0.8665422302366428,0.7914777335424985,0.948725914780489,inf
has.vacc.roommate.binary,0.774260822199362,0.6900911879335424,0.868696530654096,inf
"time_since_vacc_cut.roommate[0,90)",0.7310965583029169,0.6441275558219438,0.8298079669644233,vacc
"time_since_vacc_cut.roommate[90,182)",0.8980824511812068,0.7723325053497998,1.0443068024883224,vacc
"time_since_vacc_cut.roommate[182,365)",0.8033684185057856,0.7025678946128213,0.918631239487767,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.7940480406745083,0.6475600290985735,0.9736738874644889,vacc
has.prior.inf.roommate,0.8175588911895317,0.7503658630826068,0.8907688548319168,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6626487768046949,0.5656925919470188,0.7762226475150368,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.7714532485104155,0.6464778381180558,0.9205885794473161,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7470605801118587,0.6338583032385126,0.8804799235185872,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.8070335552456618,0.662153064844049,0.9836142032293519,infvacc
