x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.6298620145069594,0.44843714347091224,0.8846862109772999,inf
"time_since_inf_cut.roommate[90,182)",0.6253196954053746,0.4809472975189669,0.8130302914249138,inf
"time_since_inf_cut.roommate[182,365)",0.769592615927931,0.6352227531989223,0.9323859882350963,inf
"time_since_inf_cut.roommate[365,Inf)",0.8577838473947511,0.7826038514336258,0.9401859286834161,inf
has.vacc.roommate.binary,0.7547828897238564,0.67134704590403,0.8485882437342759,inf
age,0.9910829993190878,0.9855180599488772,0.9966793623145497,inf
age.roommate,1.0048052658426474,0.9994605821188403,1.0101785306276974,inf
risk,1.074530119234532,1.0386047417720843,1.1116981568677942,inf
risk.roommate,1.0841834400294563,1.049492468351825,1.120021121714286,inf
time_since_inf,1.0019982242604526,1.0013304827444387,1.0026664110627528,inf
time_since_vacc,1.0016043675623452,1.0008120487164731,1.002397313668005,inf
"time_since_vacc_cut.roommate[0,90)",0.6982791740669159,0.6132778748676047,0.795061789960769,vacc
"time_since_vacc_cut.roommate[90,182)",0.827075354364288,0.7092930819165689,0.9644160633125629,vacc
"time_since_vacc_cut.roommate[182,365)",0.8120591909361631,0.708489757291407,0.9307687553663013,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.8107226819471913,0.658234561042177,0.998536549012247,vacc
has.prior.inf.roommate,0.8201751694962494,0.7519477765916028,0.8945931214895402,vacc
age,0.9909393681227104,0.9853786271983865,0.9965314897151085,vacc
age.roommate,1.0062367520418807,1.000794528029673,1.0117085703427957,vacc
risk,1.0742288901000323,1.0383424122762985,1.111355651740903,vacc
risk.roommate,1.0837684451299854,1.049019836605941,1.1196680955621254,vacc
time_since_inf,1.002054126772714,1.0013895161851334,1.00271917845462,vacc
time_since_vacc,1.0015783783259196,1.0007853721868631,1.002372012830212,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6296692064106386,0.5353400631023529,0.7406195366813016,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.7134145901943479,0.5955715056766466,0.8545747616382758,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7571544596581775,0.640165556047798,0.8955228383725515,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.7897501626421822,0.6454722453666543,0.9662775183138409,infvacc
age,0.990812914180348,0.985257411036318,0.9963997427575466,infvacc
age.roommate,1.0066174204832417,1.0011909281092999,1.0120733246493379,infvacc
risk,1.0758321556028407,1.039936797350053,1.1129665090978191,infvacc
risk.roommate,1.084695710244796,1.0499318492727199,1.1206106230975472,infvacc
time_since_inf,1.002054855132226,1.0013908717501654,1.0027192787758705,infvacc
time_since_vacc,1.0015761811461887,1.0007823865086476,1.0023706054010526,infvacc
