,Matching specification,Index case,Relative % change in attack rate of infection in close contact (95% CI)
Varying choice of caliper,Caliper of propensity score = 0.05,Prior vaccination,"-21.2 (-35.2, -4.1)"
,Caliper of propensity score = 0.05,Prior infection,"-24.4 (-40.4, -4.1)"
,Caliper of propensity score = 0.2,Prior vaccination,"-23.2 (-36.6, -7)"
,Caliper of propensity score = 0.2,Prior infection,"-21.1 (-37.2, -0.9)"
,Caliper of days between index cases = 15,Prior vaccination,"-21 (-35, -3.9)"
,Caliper of days between index cases = 15,Prior infection,"-21 (-37.6, 0.1)"
Varying k in 1:k matching,1:4 matching,Prior vaccination,"-20.9 (-34.9, -3.8)"
,1:4 matching,Prior infection,"-21.7 (-37.7, -1.5)"
Varying weights between propensity score and time,1:3 ratio,Prior vaccination,"-23.3 (-36.7, -7.2)"
,1:3 ratio,Prior infection,"-23.7 (-39.9, -3.2)"
,3:1 ratio,Prior vaccination,"-20.7 (-34.6, -3.8)"
,3:1 ratio,Prior infection,"-21.5 (-38.2, -0.4)"
Overall changes to propensity score,Matching without propensity score,Prior vaccination,"-24 (-36.9, -8.6)"
,Matching without propensity score,Prior infection,"-21.9 (-36.7, -3.5)"
,Matching with propensity score with sex and race,Prior vaccination,"-22.7 (-36.5, -5.8)"
,Matching with propensity score with sex and race,Prior infection,"-22.9 (-39.4, -2.1)"
No matching,No matching,Prior vaccination,"-24.8 (-37.6, -9.3)"
,No matching,Prior infection,"-23.2 (-37.6, -5.6)"
