 ,Odds ratio (OR) (95% CI)
Vaccine-derived immunity Any,"0.8 (0.715, 0.896)"
By dose Partial vaccination,"0.938 (0.904, 0.973)"
Primary series alone,"0.879 (0.848, 0.912)"
One booster,"0.825 (0.795, 0.855)"
Two or more boosters,"0.773 (0.745, 0.802)"
By time <3 months,"0.735 (0.65, 0.831)"
3 to <6 months,"0.878 (0.761, 1.01)"
6 to <12 months,"0.851 (0.748, 0.968)"
12+ months,"0.835 (0.689, 1.01)"
Infection-acquired immunity Any,"0.847 (0.781, 0.918)"
By time <3 months,"0.665 (0.481, 0.907)"
3 to <6 months,"0.667 (0.525, 0.843)"
6 to <12 months,"0.781 (0.658, 0.925)"
12+ months,"0.884 (0.811, 0.963)"
